workclass,occupation,avg_hours,cnt,rnk
Federal-gov,Prof-specialty,43.24686192468619,239,1
Federal-gov,Exec-managerial,42.23396226415095,265,2
Federal-gov,Adm-clerical,40.43004115226338,486,3
Local-gov,Protective-serv,44.29398663697105,449,1
Local-gov,Exec-managerial,42.9483282674772,329,2
Local-gov,Prof-specialty,41.89846743295019,1044,3
Local-gov,Craft-repair,41.22115384615385,208,4
Local-gov,Transport-moving,38.42307692307692,156,5
Local-gov,Adm-clerical,36.87019230769231,416,6
Local-gov,Other-service,36.22372881355932,295,7
Private,Exec-managerial,44.90050890585242,3930,1
Private,Transport-moving,44.86046511627907,1849,2
Private,Farming-fishing,42.7298937784522,659,3
Private,Craft-repair,42.28268778086882,4673,4
Private,Prof-specialty,42.22403875264911,3303,5
Private,Machine-op-inspct,40.7605086541858,2831,6
Private,Tech-support,39.805481874447395,1131,7
Private,Protective-serv,39.52901023890785,293,8
Private,Sales,39.40562800274537,4371,9
Private,Adm-clerical,37.74529667149059,4146,10
Private,Handlers-cleaners,37.740252897787144,1898,11
Private,Other-service,34.119300911854104,3948,12
Private,Priv-house-serv,32.834782608695654,230,13
Self-emp-inc,Prof-specialty,50.400826446280995,242,1
Self-emp-inc,Exec-managerial,49.63333333333333,600,2
Self-emp-inc,Sales,48.171990171990174,407,3
Self-emp-inc,Craft-repair,46.575949367088604,158,4
Self-emp-not-inc,Farming-fishing,51.65284178187404,651,1
Self-emp-not-inc,Transport-moving,49.337078651685395,178,2
Self-emp-not-inc,Sales,45.782229965156795,574,3
Self-emp-not-inc,Exec-managerial,44.545296167247386,574,4
Self-emp-not-inc,Craft-repair,41.98980891719745,785,5
Self-emp-not-inc,Prof-specialty,41.736654804270465,562,6
Self-emp-not-inc,Other-service,38.9014598540146,274,7
State-gov,Protective-serv,42.78285714285714,175,1
State-gov,Exec-managerial,41.95373665480427,281,2
State-gov,Prof-specialty,40.191489361702125,611,3
State-gov,Adm-clerical,35.886792452830186,371,4
State-gov,Other-service,35.21052631578947,190,5
